semilla	cp	maxdepth	minsplit	minbucket	ganancia_test
967831	-1	6	480	32	52370000
171329	-1	6	480	32	48930000
919859	-1	6	480	48	47580000
137437	-1	6	480	48	46680000
922123	-1	6	480	48	53710000
502057	-1	6	480	48	42970000
324991	-1	6	480	48	43730000
289603	-1	6	480	48	49670000
313381	-1	6	480	48	48980000
529049	-1	6	480	48	47920000
237287	-1	6	480	48	46700000
619819	-1	6	480	48	47840000
911269	-1	6	480	48	45110000
536189	-1	6	480	48	48440000
490927	-1	6	480	48	46440000
276371	-1	6	480	48	52970000
121321	-1	6	480	48	45280000
868157	-1	6	480	48	48970000
739201	-1	6	480	48	54150000
340393	-1	6	480	48	50140000
967831	-1	6	480	48	51530000
171329	-1	6	480	48	48640000
919859	-1	6	480	64	46530000
137437	-1	6	480	64	46870000
922123	-1	6	480	64	53710000
502057	-1	6	480	64	46370000
324991	-1	6	480	64	44260000
289603	-1	6	480	64	51580000
313381	-1	6	480	64	48360000
529049	-1	6	480	64	49590000
237287	-1	6	480	64	46340000
619819	-1	6	480	64	51110000
911269	-1	6	480	64	45420000
536189	-1	6	480	64	48310000
490927	-1	6	480	64	45040000
276371	-1	6	480	64	54810000
121321	-1	6	480	64	46150000
868157	-1	6	480	64	50650000
739201	-1	6	480	64	55150000
340393	-1	6	480	64	50060000
967831	-1	6	480	64	56520000
171329	-1	6	480	64	48640000
919859	-1	6	480	80	45850000
137437	-1	6	480	80	45470000
922123	-1	6	480	80	54260000
502057	-1	6	480	80	45030000
324991	-1	6	480	80	44760000
289603	-1	6	480	80	51960000
313381	-1	6	480	80	46860000
529049	-1	6	480	80	50070000
237287	-1	6	480	80	46420000
619819	-1	6	480	80	51010000
911269	-1	6	480	80	46320000
536189	-1	6	480	80	47520000
490927	-1	6	480	80	43590000
276371	-1	6	480	80	55490000
121321	-1	6	480	80	46150000
868157	-1	6	480	80	51890000
739201	-1	6	480	80	55180000
340393	-1	6	480	80	49520000
967831	-1	6	480	80	56810000
171329	-1	6	480	80	48640000
